Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,16.51,-24.13,0.0,top
C10,10u,C_0805_2012Metric,55.88,-12.7,180.0,top
C11,100n,C_0402_1005Metric,53.34,-20.32,0.0,top
C12,100n,C_0402_1005Metric,30.215,-29.8775,180.0,top
C13,1u,C_0805_2012Metric,50.165,-15.875,0.0,top
C14,1u,C_0805_2012Metric,50.165,-1.905,180.0,top
C15,220pF/3kV Y,C_1812_4532Metric,38.1,-18.415,180.0,top
C16,10u,C_0805_2012Metric,19.558,-12.7,0.0,top
C17,10u,C_0805_2012Metric,27.178,-6.096,-90.0,top
C18,220pF/3kV Y,C_1812_4532Metric,38.02,-37.465,180.0,top
C2,10u,C_0805_2012Metric,12.065,-30.48,0.0,top
C3,100n,C_0402_1005Metric,58.42,-30.48,0.0,top
C4,100n,C_0402_1005Metric,45.7,-22.36,0.0,top
C5,10u,C_0805_2012Metric,60.96,-12.7,180.0,top
C6,100n,C_0402_1005Metric,58.42,-20.32,0.0,top
C7,100n,C_0402_1005Metric,45.32,-29.9145,0.0,top
C8,100n,C_0402_1005Metric,53.34,-30.48,0.0,top
C9,100n,C_0402_1005Metric,30.48,-22.225,180.0,top
F1,"Polyfuse 1,8A",Fuse_1206_3216Metric,12.065,-27.305,180.0,top
L1,2.2uH,L_6.3x6.3_H3,21.59,-7.62,0.0,top
R12,1k5,R_0402_1005Metric,8.89,-8.255,90.0,top
R3,5k1,R_0402_1005Metric,10.795,-19.685,180.0,top
R4,5k1,R_0402_1005Metric,10.795,-22.86,180.0,top
R9,4k7,R_0402_1005Metric,16.51,-27.18,90.0,top
U12,MAX22246,MAX22246,38.1,-31.75,0.0,top
U13,MAX22246,MAX22246,38.07,-24.1925,0.0,top
U3,USBLC6-2SC6,SOT-23-6,16.51,-20.32,180.0,top
U6,Interface_USB_CP2102N-A01-GQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,20.32,-29.21,-90.0,top
U7,SN75155,SO-8_3.9x4.9mm_P1.27mm,55.88,-24.13,0.0,top
U8,SN75155,SO-8_3.9x4.9mm_P1.27mm,55.88,-34.29,0.0,top
U9,LM1117DT-5.0,SOT-223-3_TabPin2,58.42,-6.35,90.0,top
USB1,HRO-TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,4.0,-21.0,-90.0,top
